patientID	SampleID	cnv_Count
LUP540	LUP540-c1	0
LUP541	LUP541-c1	0
LUP542	LUP542-c1	1
LUP543	LUP543-c1	1
LUP544	LUP544-c1	1
LUP545	LUP545-c1	2
LUP546	LUP546-c1	0
LUP547	LUP547-c1	2
LUP548	LUP548-c1	1
LUP551	LUP551-c1	1
LUP599	LUP599-c1	0
LUP611	LUP611-c1	0
LUP614	LUP614-c1	3
LUP615	LUP615-c1	1
LUP616	LUP616-c1	1
LUP624	LUP624-c1	0
LUP625	LUP625-c1	0
LUP626	LUP626-c1	1
LUP627	LUP627-c1	3
LUP631	LUP631-c1	0
LUP632	LUP632-c1	9
LUP635	LUP635-c1	7
LUP636	LUP636-c1	1
LUP637	LUP637-c1	4
LUP638	LUP638-c1	3
LUP640	LUP640-c1	0
LUP641	LUP641-c1	2
LUP642	LUP642-c1	3
LUP643	LUP643-c1	1
LUP644	LUP644-c1	1
LUP645	LUP645-c1	4
LUP646	LUP646-c1	1
LUP647	LUP647-c1	1
LUP648	LUP648-c1	1
LUP649	LUP649-c1	1
LUP650	LUP650-c1	6
LUP651	LUP651-c1	1
LUP653	LUP653-c1	2
LUP654	LUP654-c1	0
LUP657	LUP657-c1	0
LUP658	LUP658-c1	2
LUP659	LUP659-c1	3
LUP660	LUP660-c1	0
LUP661	LUP661-c1	1
LUP662	LUP662-c1	2
LUP663	LUP663-c1	0
LUP664	LUP664-c1	0
LUP665	LUP665-c1	1
LUP666	LUP666-c1	26
LUP667	LUP667-c1	29
LUP668	LUP668-c1	1
LUP669	LUP669-c1	14
LUP671	LUP671-c1-combined	0
LUP672	LUP672-c1	1
LUP673	LUP673-c1	0
LUP783	LUP783-c1	1
LUP787	LUP787-c1	24
LUP788	LUP788-c1	1
LUP789	LUP789-c1	2
LUP790	LUP790-c1	4
LUP791	LUP791-c1	4
LUP794	LUP794-c1	3
LUP795	LUP795-c1	1
LUP796	LUP796-c1	1
LUP799	LUP799-c1	8
LUP801	LUP801-c1	0
LUP802	LUP802-c1	1
LUP805	LUP805-c1	0
LUP807	LUP807-c1	1
LUP808	LUP808-c1	28
LUP809	LUP809-c1	3
LUP810	LUP810-c1	2
LUP811	LUP811-c1	2
LUP813	LUP813-c1	1
LUP814	LUP814-c1	4
LUP815	LUP815-c1	1
